Chiswick Park,3,W4 5NE,51.494371,-0.267737,520352,178692,-250.19,13041.84
Chorleywood,7,WD3 5ND,51.654266,-0.518334,502596,196092,-18006.19,-4358.16
Church Street,"3,4,5,6",CR0 1RN,51.373707,-0.104347,532041,165555,11438.81,26178.84
City Thameslink,1,EC4M 7JH,51.513935,-0.103618,531688,181150,11085.81,10583.84
Clapham Common,2,SW4 7AJ,51.461804,-0.138315,529428,175291,8825.81,16442.84
Clapham High Street,2,SW4 6DQ,51.46547,-0.132464,529824,175709,9221.81,16024.84
Clapham Junction,2,SW11 2QP,51.464367,-0.170315,527198,175520,6595.81,16213.84
Clapham North,2,SW4 7TS,51.464916,-0.12991,530003,175652,9400.81,16081.84
Clapham South,"2,3",SW12 9DU,51.452676,-0.147984,528782,174259,8179.81,17474.84
Clapton,2,E5 9JP,51.561569,-0.057489,534748,186531,14145.81,5202.84
Clock House,4,BR3 4PR,51.408541,-0.040702,536367,169545,15764.81,22188.84
Cockfosters,5,EN4 0DZ,51.652024,-0.149917,528087,196424,7484.81,-4690.16
Colindale,4,NW9 5HR,51.595231,-0.250288,521295,189937,692.81,1796.84
Colliers Wood,3,SW19 2HR,51.418759,-0.177415,526831,170436,6228.81,21297.84
Coombe Lane,"3,4,5,6",CR0 5RF,51.359789,-0.059532,535201,164089,14598.81,27644.84
Coulsdon South,6,CR5 3EA,51.315801,-0.137903,529869,159056,9266.81,32677.84
Coulsdon Town,6,CR5 2JA,51.322453,-0.134347,530098,159802,9495.81,31931.84
Covent Garden,1,WC2E 9JT,51.51276,-0.124507,530242,180982,9639.81,10751.84
Crayford,6,DA1 3PY,51.448547,0.178503,551479,174424,30876.81,17309.84
Crews Hill,6,EN2 8AY,51.684475,-0.106844,530973,200109,10370.81,-8375.16
Cricklewood,3,NW2 1HL,51.558423,-0.212548,524009,185907,3406.81,5826.84
Crofton Park,3,SE4 2RA,51.455179,-0.036547,536517,174739,15914.81,16994.84
Crossharbour and London Arena,2,E14 8AD,51.49584,-0.014933,537896,179301,17293.81,12432.84
Crouch Hill,3,N4 4AU,51.571327,-0.117133,530586,187508,9983.81,4225.84
Croxley,7,WD3 3DY,51.647005,-0.441604,507921,195395,-12681.19,-3661.16
Crystal Palace,"3,4",SE19 2AZ,51.41817,-0.072607,534120,170557,13517.81,21176.84
Custom House,3,E16 3BX,51.509622,0.025773,540679,180911,20076.81,10822.84
Cutty Sark for Maritime Greenwich,2,SE10 9SW,51.481944,-0.010582,538240,177764,17637.81,13969.84
Cyprus,3,E6 5PH,51.508527,0.063841,543324,180863,22721.81,10870.84
Dagenham Dock,5,RM9 6RA,51.526287,0.145031,548900,183000,28297.81,8733.84
Dagenham East,5,RM10 8AA,51.544187,0.165833,550284,185033,29681.81,6700.84
Dagenham Heathway,5,RM9 5AN,51.541212,0.14768,549035,184665,28432.81,7068.84
Dalston Junction,2,E8 3DL,51.546094,-0.074994,533580,184778,12977.81,6955.84
Dalston Kingsland,2,E8 2JS,51.548668,-0.076227,533487,185062,12884.81,6671.84
Debden,6,IG10 3TG,51.645492,0.083801,544275,196133,23672.81,-4399.16
Denmark Hill,2,SE5 8BB,51.468201,-0.090988,532697,176087,12094.81,15646.84
Deptford,2,SE8 3NU,51.47889,-0.026196,537165,177395,16562.81,14338.84
Deptford Bridge,"2,3",SE10 8BU,51.474477,-0.022052,537466,176912,16863.81,14821.84
Devons Road,2,E3 3QX,51.522258,-0.018008,537603,182233,17000.81,9500.84
Dollis Hill,3,NW10 5NB,51.551851,-0.238798,522207,185132,1604.81,6601.84
Drayton Green,4,W13 0JX,51.516005,-0.329611,516002,180998,-4600.19,10735.84
Drayton Park,2,N5 1NT,51.553078,-0.10577,531426,185499,10823.81,6234.84
Dundonald Road,"3,4,5,6",SW19 3QJ,51.417398,-0.207527,524741,170233,4138.81,21500.84
Ealing Broadway,3,W5 2NU,51.514862,-0.30201,517920,180915,-2682.19,10818.84
Ealing Common,3,W5 3LD,51.510249,-0.287151,518963,180426,-1639.19,11307.84
Earls Court,"1,2",SW5 9QA,51.491357,-0.194314,525457,178480,4854.81,13253.84
Earlsfield,3,SW18 4SW,51.442239,-0.187273,526081,173030,5478.81,18703.84
East Acton,2,W12 0BP,51.516263,-0.248112,521656,181159,1053.81,10574.84
East Croydon,5,CR0 1LF,51.375716,-0.091863,532904,165801,12301.81,25932.84
East Dulwich,2,SE22 8EF,51.461626,-0.080437,533449,175375,12846.81,16358.84
East Finchley,3,N2 0NW,51.587333,-0.164744,527242,189204,6639.81,2529.84
East Ham,"3,4",E6 2JA,51.539246,0.051516,542373,184255,21770.81,7478.84
East India,"2,3",E14 9PS,51.508684,-0.00237,538729,180753,18126.81,10980.84
East Putney,"2,3",SW15 6SN,51.45888,-0.210998,524387,174840,3784.81,16893.84
Eastcote,5,HA5 1QZ,51.576552,-0.396823,511191,187627,-9411.19,4106.84
Eden Park,5,BR3 3HQ,51.390796,-0.02667,537396,167598,16793.81,24135.84
Edgware,5,HA8 7AW,51.61423,-0.275094,519527,192009,-1075.19,-275.16
Edgware Road (Bakerloo),1,W2 1DY,51.520645,-0.17054,527026,181778,6423.81,9955.84
Edgware Road (Circle/District/Hammersmith and City),1,NW1 5DH,51.519998,-0.167668,527227,181711,6624.81,10022.84
Edmonton Green,4,N9 9DX,51.625116,-0.061639,534273,193590,13670.81,-1856.16
Elephant and Castle,"1,2",SE1 6LW,51.495849,-0.100739,531940,179144,11337.81,12589.84
Elm Park,6,RM12 4RW,51.549125,0.197253,552446,185647,31843.81,6086.84
Elmers End,4,BR3 4EJ,51.398291,-0.049464,535788,168389,15185.81,23344.84
Elmstead Woods,4,BR7 5EW,51.417081,0.044229,542247,170656,21644.81,21077.84
Elstree and Borehamwood,6,WD6 3LS,51.652876,-0.279829,519098,196299,-1504.19,-4565.16
Eltham,4,SE9 6UB,51.455662,0.052329,542690,174962,22087.81,16771.84
Elverson Road,"2,3",SE8 4LA,51.468372,-0.016816,537848,176243,17245.81,15490.84
Embankment,1,WC2N 6NS,51.507312,-0.122367,530406,180380,9803.81,11353.84
Emerson Park,6,RM11 2JR,51.569115,0.220223,553971,187918,33368.81,3815.84
Enfield Chase,5,EN2 7AA,51.652722,-0.090704,532181,196607,11578.81,-4873.16
Enfield Lock,6,EN3 6BW,51.670846,-0.028391,536437,198737,15834.81,-7003.16
Enfield Town,5,EN1 1YB,51.65197,-0.07933,532970,196544,12367.81,-4810.16
Epping,6,CM16 4HW,51.693686,0.113826,546197,201552,25594.81,-9818.16
Epsom Downs,6,KT17 4JX,51.323659,-0.23897,522805,159756,2202.81,31977.84
Erith,6,DA8 1TY,51.481648,0.174261,551075,178096,30472.81,13637.84
Essex Road,2,N1 2SU,51.540633,-0.096366,532114,184132,11511.81,7601.84
Euston,1,NW1 2DU,51.528664,-0.133296,529587,182735,8984.81,8998.84
Euston Square,1,NW1 2BN,51.528664,-0.133296,529587,182735,8984.81,8998.84
Ewell East,6,KT17 1QR,51.345244,-0.241503,522571,162152,1968.81,29581.84
Ewell West,6,KT17 1TU,51.349991,-0.257089,521473,162654,870.81,29079.84
Fairlop,4,IG6 3HD,51.59611,0.090593,544902,190655,24299.81,1078.84
Falconwood,4,SE9 2RN,51.459086,0.07851,544498,175394,23895.81,16339.84
Farringdon,1,EC1M 6BY,51.520196,-0.104843,531585,181844,10982.81,9889.84
Feltham,6,TW13 4BY,51.447879,-0.409824,510601,173298,-10001.19,18435.84
Fenchurch Street,1,EC3M 4AJ,51.511567,-0.078554,533434,180932,12831.81,10801.84
Fieldway,"3,4,5,6",CR0 0QA,51.351317,-0.024503,537665,163212,17062.81,28521.84
